Rating,Label,Date,Time,Timestamp
happy,Great,2026-09-01,13:39:21,2026-09-01T11:39:21.729Z
happy,Great,2026-09-01,13:39:23,2026-09-01T11:39:23.499Z
happy,Great,2026-09-01,13:39:25,2026-09-01T11:39:25.091Z
happy,Great,2026-09-01,13:45:59,2026-09-01T11:45:59.691Z
happy,Great,2026-09-01,13:51:00,2026-09-01T11:51:00.897Z
happy,Great,2026-09-01,13:52:10,2026-09-01T11:52:10.730Z
happy,Great,2026-09-01,14:02:46,2026-09-01T12:02:46.916Z
happy,Great,2026-09-01,14:06:00,2026-09-01T12:06:00.079Z
happy,Great,2026-09-01,14:06:27,2026-09-01T12:06:27.960Z
happy,Great,2026-09-01,14:08:40,2026-09-01T12:08:40.350Z
happy,Great,2026-09-01,14:10:24,2026-09-01T12:10:24.776Z
happy,Great,2026-09-01,14:11:04,2026-09-01T12:11:04.104Z
happy,Great,2026-09-01,14:19:35,2026-09-01T12:19:35.208Z
neutral,Okay,2026-09-01,14:19:43,2026-09-01T12:19:43.163Z
happy,Great,2026-09-01,14:35:12,2026-09-01T12:35:12.158Z
happy,Great,2026-09-01,14:40:37,2026-09-01T12:40:37.934Z
happy,Great,2026-09-01,14:41:49,2026-09-01T12:41:49.603Z
